Tid,Pris
2022-09-03 01:05:00,1.833
2022-09-03 01:10:00,1.843
2022-09-03 01:15:00,1.854
2022-09-03 01:20:00,1.865
2022-09-03 01:25:00,1.876
2022-09-03 01:30:00,1.887
2022-09-03 01:35:00,1.898
2022-09-03 01:40:00,1.908
2022-09-03 01:45:00,1.919
2022-09-03 01:50:00,1.93
2022-09-03 01:55:00,1.941
2022-09-03 02:00:00,1.952
2022-09-03 02:05:00,1.944
2022-09-03 02:10:00,1.936
2022-09-03 02:15:00,1.929
2022-09-03 02:20:00,1.921
2022-09-03 02:25:00,1.913
2022-09-03 02:30:00,1.905
2022-09-03 02:35:00,1.898
2022-09-03 02:40:00,1.89
2022-09-03 02:45:00,1.882
2022-09-03 02:50:00,1.875
2022-09-03 02:55:00,1.867
2022-09-03 03:00:00,1.859
2022-09-03 03:05:00,1.85
2022-09-03 03:10:00,1.841
2022-09-03 03:15:00,1.832
2022-09-03 03:20:00,1.823
2022-09-03 03:25:00,1.814
2022-09-03 03:30:00,1.804
2022-09-03 03:35:00,1.795
2022-09-03 03:40:00,1.786
2022-09-03 03:45:00,1.777
2022-09-03 03:50:00,1.768
2022-09-03 03:55:00,1.759
2022-09-03 04:00:00,1.75
2022-09-03 04:05:00,1.785
2022-09-03 04:10:00,1.82
2022-09-03 04:15:00,1.855
2022-09-03 04:20:00,1.89
2022-09-03 04:25:00,1.925
2022-09-03 04:30:00,1.959
2022-09-03 04:35:00,1.994
2022-09-03 04:40:00,2.029
2022-09-03 04:45:00,2.064
2022-09-03 04:50:00,2.099
2022-09-03 04:55:00,2.134
2022-09-03 05:00:00,2.169
2022-09-03 05:05:00,2.159
2022-09-03 05:10:00,2.148
2022-09-03 05:15:00,2.138
2022-09-03 05:20:00,2.128
2022-09-03 05:25:00,2.117
2022-09-03 05:30:00,2.107
2022-09-03 05:35:00,2.097
2022-09-03 05:40:00,2.086
2022-09-03 05:45:00,2.076
2022-09-03 05:50:00,2.066
2022-09-03 05:55:00,2.055
2022-09-03 06:00:00,2.045
2022-09-03 06:05:00,2.104
2022-09-03 06:10:00,2.163
2022-09-03 06:15:00,2.222
2022-09-03 06:20:00,2.281
2022-09-03 06:25:00,2.34
2022-09-03 06:30:00,2.399
2022-09-03 06:35:00,2.458
2022-09-03 06:40:00,2.516
2022-09-03 06:45:00,2.575
2022-09-03 06:50:00,2.634
2022-09-03 06:55:00,2.693
2022-09-03 07:00:00,2.752
2022-09-03 07:05:00,2.771
2022-09-03 07:10:00,2.79
2022-09-03 07:15:00,2.809
2022-09-03 07:20:00,2.827
2022-09-03 07:25:00,2.846
2022-09-03 07:30:00,2.865
2022-09-03 07:35:00,2.884
2022-09-03 07:40:00,2.903
2022-09-03 07:45:00,2.921
2022-09-03 07:50:00,2.94
2022-09-03 07:55:00,2.959
2022-09-03 08:00:00,2.978
2022-09-03 08:05:00,2.964
2022-09-03 08:10:00,2.951
2022-09-03 08:15:00,2.937
2022-09-03 08:20:00,2.924
2022-09-03 08:25:00,2.91
2022-09-03 08:30:00,2.897
2022-09-03 08:35:00,2.883
2022-09-03 08:40:00,2.87
2022-09-03 08:45:00,2.856
2022-09-03 08:50:00,2.843
2022-09-03 08:55:00,2.83
2022-09-03 09:00:00,2.816
2022-09-03 09:05:00,2.709
2022-09-03 09:10:00,2.603
2022-09-03 09:15:00,2.496
2022-09-03 09:20:00,2.39
2022-09-03 09:25:00,2.283
2022-09-03 09:30:00,2.177
2022-09-03 09:35:00,2.07
